"DataID","DeviceName","DeviceType","CurrentReading","DateRead"
"1","humidity2","Humidity Sensor","78","2020-12-04 15:28:50"
"2","heater","Heater Actuator","0","2020-12-04 15:28:50"
"3","temp2","Temperature Sensor","28","2020-12-04 15:28:50"
"4","ldr","Light Intensity Sensor","283","2020-12-04 15:28:50"
"5","pump","Pump Actuator","1","2020-12-04 15:28:50"
"6","temp1","Temperature Sensor","32","2020-12-04 15:28:50"
"7","humidity1","Humidity Sensor","44","2020-12-04 15:28:50"
"8","temp2","Temperature Sensor","21","2020-12-04 15:28:51"
"9","humidity1","Humidity Sensor","8","2020-12-04 15:28:51"
"10","humidity2","Humidity Sensor","82","2020-12-04 15:28:51"
"11","temp1","Temperature Sensor","32","2020-12-04 15:28:51"
"12","temp2","Temperature Sensor","30","2020-12-04 15:28:52"
"13","humidity2","Humidity Sensor","49","2020-12-04 15:28:52"
"14","humidity1","Humidity Sensor","19","2020-12-04 15:28:52"
"15","temp1","Temperature Sensor","40","2020-12-04 15:28:52"
"16","ldr","Light Intensity Sensor","756","2020-12-04 15:28:53"
"17","temp2","Temperature Sensor","26","2020-12-04 15:28:53"
"18","humidity1","Humidity Sensor","54","2020-12-04 15:28:53"
"19","humidity2","Humidity Sensor","46","2020-12-04 15:28:53"
"20","temp1","Temperature Sensor","34","2020-12-04 15:28:53"
"21","temp2","Temperature Sensor","21","2020-12-04 15:28:54"
"22","humidity1","Humidity Sensor","14","2020-12-04 15:28:54"
"23","humidity2","Humidity Sensor","44","2020-12-04 15:28:54"
"24","temp1","Temperature Sensor","38","2020-12-04 15:28:54"
"25","pump","Pump Actuator","0","2020-12-04 15:28:55"
"26","heater","Heater Actuator","1","2020-12-04 15:28:55"
"27","temp2","Temperature Sensor","26","2020-12-04 15:28:55"
"28","humidity1","Humidity Sensor","13","2020-12-04 15:28:55"
"29","humidity2","Humidity Sensor","82","2020-12-04 15:28:55"
"30","temp1","Temperature Sensor","34","2020-12-04 15:28:55"
"31","ldr","Light Intensity Sensor","48","2020-12-04 15:28:56"
"32","temp2","Temperature Sensor","25","2020-12-04 15:28:56"
"33","humidity1","Humidity Sensor","35","2020-12-04 15:28:56"
"34","humidity2","Humidity Sensor","43","2020-12-04 15:28:56"
